# Scryfall Tagger function-tag catalog (source: Tagger GraphQL API)
# Tag type: ORACLE_CARD_TAG (function / otag: search filter)
# Total reported by Tagger: 4524; slugs written here: 4524
# Format: <slug>\t<name>, sorted by slug.
# Note: `cycle-*` slugs are Tagger's internal per-set bookkeeping and are
#       usually NOT useful for card search.
40k-model	40k model
5c-set-mechanic-commander	5c set mechanic commander
ablative-armor	ablative armor
abrade	abrade
absorb	absorb
abyss	abyss
activate-from-command-zone	activate from command zone
activate-from-exile	activate from exile
activate-from-graveyard	activate from graveyard
activate-from-hand	activate from hand
activate-from-stack	activate from stack
activated-ability	activated ability
addendum	addendum
adds-multiple-mana	adds multiple mana
aesthetic-counter	aesthetic counter
affinity	affinity
affinity-for-allies	affinity for allies
affinity-for-artifacts	affinity for artifacts
affinity-for-attacking	affinity for attacking
affinity-for-birds	affinity for birds
affinity-for-cats	affinity for cats
affinity-for-caves	affinity for caves
affinity-for-citizens	affinity for citizens
affinity-for-creature-type	affinity for creature type
affinity-for-creatures	affinity for creatures
affinity-for-daleks	affinity for daleks
affinity-for-devotion	affinity for devotion
affinity-for-domain	affinity for domain
affinity-for-elves	affinity for elves
affinity-for-enchantments	affinity for enchantments
affinity-for-equipment	affinity for equipment
affinity-for-graveyard	affinity for graveyard
affinity-for-humans	affinity for humans
affinity-for-knights	affinity for knights
affinity-for-land-type	affinity for land type
affinity-for-outlaws	affinity for outlaws
affinity-for-party	affinity for party
affinity-for-phyrexians	affinity for phyrexians
affinity-for-slivers	affinity for slivers
affinity-for-spells	affinity for spells
affinity-for-spirits	affinity for spirits
affinity-for-tokens	affinity for tokens
affinity-for-towns	affinity for towns
affinity-undergrowth	affinity undergrowth
afflict	afflict
age-matters	age matters
aikido	aikido
alliteration	alliteration
alt-commander	alt-commander
alternate-cost-bounce	alternate-cost-bounce
alternate-cost-gain-life	alternate-cost-gain-life
alternate-cost-life	alternate-cost-life
alternate-cost-sacrifice	alternate-cost-sacrifice
alternate-equip-cost	alternate-equip-cost
alternate-loss-condition	alternate loss condition
alternate-win-condition	alternate win condition
alternative-crewing	alternative crewing
amount-spent-matters	amount spent matters
anagram	anagram
animate	animate
animate-artifact	animate artifact
animate-battle	animate battle
animate-dead-like	animate dead-like
animate-enchantment	animate enchantment
animate-instant	animate instant
animate-land	animate land
animate-planeswalker	animate planeswalker
animate-self	animate self
animate-sorcery	animate sorcery
animate-token	animate token
animate-vehicle	animate vehicle
ante-matters	ante matters
anthem	anthem
any-player-ability	any player ability
any-zone-color-change	any zone color change
any-zone-type-change	any zone type change
arc-lightning	arc lightning
arena-effect	arena effect
armament-ability	armament ability
armoring	armoring
art-matters	art matters
artifact-matters	artifact matters
artifactfall	artifactfall
artifactify	artifactify
artist-matters	artist matters
attack-trigger	attack trigger
attacking-matters	attacking matters
attacking-matters-any	attacking matters-any
attacking-matters-self	attacking matters-self
attacking-opponents-matters	attacking opponents matters
auraify	auraify
auto-buyback	auto buyback
auto-equip	auto equip
awaken	awaken
bablovian-faction-leader	bablovian faction leader
balance	balance
ball-lightning	ball lightning
banish	banish
banish-graveyard	banish-graveyard
banish-hand	banish-hand
banish-spell	banish-spell
battalion	battalion
battle-cry	battle cry
bear-with-set-s-mechanic	bear with set's mechanic
becomes-changeling	becomes changeling
behold	behold
berserk	berserk
bible-reference	bible reference
bid	bid
birthing-pod	birthing pod
black-effect	black effect
block-additional	block additional
block-trigger	block trigger
block-unlimited	block unlimited
block-when-tapped	block when tapped
block-without-creature	block without creature
blood-artist-ability	blood artist ability
blood-moon-effect	blood moon effect
blue-effect	blue effect
board-reset	board-reset
boltland	boltland
bombard	bombard
bombard-self	bombard-self
booster-tutor	booster tutor
border-color-matters	border color matters
borrow-ability	borrow ability
bottom-deck-manipulation	bottom deck manipulation
bottom-of-library-matters	bottom of library matters
bottomless-mana-sink	bottomless mana sink
bounce	bounce
bounce-self	bounce-self
bounceable-aura	bounceable aura
bounceland	bounceland
bounty	bounty
brainstorm	brainstorm
breaks-ktk-morph-rule	breaks-ktk-morph-rule
bribery	bribery
bring-your-own-crew	bring your own crew
buff-mana	buff mana
buff-pact	buff pact
burn	burn
burn-any	burn any
burn-battle	burn battle
burn-bright-with-set-mechanic	burn bright with set mechanic
burn-creature	burn creature
burn-planeswalker	burn planeswalker
burn-player	burn player
burn-player-each	burn player-each
burn-self	burn-self
burn-with-set-s-mechanic	burn with set's mechanic
burn-you	burn-you
burst-draw	burst draw
bushido	bushido
buttcrew	buttcrew
buttfight	buttfight
buttfling	buttfling
buttlink	buttlink
buttsaddle	buttsaddle
buttstation	buttstation
buttstrike	buttstrike
cantrip	cantrip
card-advantage	card advantage
card-game-reference	card game reference
card-names	card names
card-style-matters	card style matters
card-types-in-graveyard-matter	card types in graveyard matter
card-types-matter	card types matter
cards-in-exile-matter	cards in exile matter
cards-in-graveyard-matter	cards in graveyard matter
cast-on-resolution	cast on resolution
cast-tax	cast tax
cast-trigger	cast trigger
cast-trigger-other	cast trigger-other
cast-trigger-self	cast trigger-self
cast-trigger-you	cast trigger-you
castable-from-exile	castable from exile
castable-from-graveyard	castable from graveyard
castable-from-library	castable from library
castable-from-nonhand	castable from nonhand
casting-restriction	casting restriction
catalog	catalog
catch-22	catch-22
catch-up	catch up
cda-color	cda-color
cda-power	cda-power
cda-subtype	cda-subtype
cda-toughness	cda-toughness
chain-spell	chain spell
change-name	change name
change-target	change target
changeling	changeling
characteristic-defining-ability	characteristic-defining ability
charm	charm
cheaper-than-mv	cheaper than mv
cheat-death	cheat death
cheat-death-self	cheat death-self
checklist-card	checklist card
chromatic-lantern	chromatic lantern
circle-of-protection	circle of protection
clash-like	clash-like
class-type-only	class type only
clone	clone
clone-assassin	clone assassin
clone-graveyard	clone graveyard
clothing-matters	clothing matters
coin-flip	coin flip
coin-flips-matter	coin flips matter
collector-number-matters	collector number matters
color-break	color break
color-change	color change
color-change-self	color change-self
color-choose-land	color-choose-land
color-count-matters	color count matters
color-spent-matters	color spent matters
color-ward	color ward
combat-arbiter	combat arbiter
combat-manipulation	combat manipulation
combat-neutral-damage-trigger	combat-neutral damage trigger
combat-ping	combat ping
combat-ramp	combat ramp
combat-timing-restriction	combat timing restriction
combat-trick	combat trick
command	command
commander-identity-matters	commander identity matters
commander-matters	commander matters
commander-set-booster-cards	commander set booster cards
commander-tax-evasion	commander tax evasion
commander-tax-matters	commander tax matters
compulsive-research	compulsive research
conditional-aura	conditional aura
conditional-tapland	conditional tapland
cone-spell	cone spell
confluence	confluence
conjure	conjure
conjure-artifact	conjure-artifact
conjure-artifact-creature	conjure-artifact-creature
conjure-battle	conjure-battle
conjure-card	conjure-card
conjure-creature	conjure-creature
conjure-duplicate	conjure-duplicate
conjure-enchantment	conjure-enchantment
conjure-instant	conjure-instant
conjure-land	conjure-land
conjure-named	conjure-named
conjure-nonland	conjure-nonland
conjure-permanent	conjure-permanent
conjure-planeswalker	conjure-planeswalker
conjure-random	conjure-random
conjure-sorcery	conjure-sorcery
conjure-spellbook	conjure-spellbook
conjure-to-battlefield	conjure-to-battlefield
conjure-to-exile	conjure-to-exile
conjure-to-graveyard	conjure-to-graveyard
conjure-to-hand	conjure-to-hand
conjure-to-library	conjure-to-library
consult	consult
consult-cast	consult-cast
consult-onto-battlefield	consult-onto-battlefield
continuous-effect-from-graveyard	continuous effect from graveyard
control-attacker	control attacker
control-blocker	control blocker
control-changing-effects	control changing effects
converge	converge
convoke	convoke
copy	copy
copy-ability	copy-ability
copy-artifact	copy-artifact
copy-aura	copy-aura
copy-creature	copy-creature
copy-enchantment	copy-enchantment
copy-equipment	copy-equipment
copy-from-graveyard	copy from graveyard
copy-instant	copy-instant
copy-land	copy-land
copy-legendary	copy-legendary
copy-noncreature	copy-noncreature
copy-nonland	copy-nonland
copy-permanent	copy-permanent
copy-permanent-spell	copy-permanent-spell
copy-planeswalker	copy-planeswalker
copy-self	copy-self
copy-sorcery	copy-sorcery
copy-spell	copy-spell
copy-token	copy-token
cost-ignorer	cost ignorer
cost-increaser	cost increaser
cost-reducer	cost reducer
cost-reducer-activated-ability	cost-reducer-activated-ability
cost-reducer-artifact	cost-reducer-artifact
cost-reducer-aura	cost-reducer-aura
cost-reducer-battle	cost-reducer-battle
cost-reducer-colored-mana	cost-reducer-colored-mana
cost-reducer-creature	cost-reducer-creature
cost-reducer-enchantment	cost-reducer-enchantment
cost-reducer-equip-ability	cost-reducer-equip-ability
cost-reducer-equipment	cost-reducer-equipment
cost-reducer-historic	cost-reducer-historic
cost-reducer-instant	cost-reducer-instant
cost-reducer-instant-sorcery	cost-reducer-instant-sorcery
cost-reducer-legendary	cost-reducer-legendary
cost-reducer-lesson	cost-reducer-lesson
cost-reducer-noncreature	cost-reducer-noncreature
cost-reducer-nonland	cost-reducer-nonland
cost-reducer-planeswalker	cost-reducer-planeswalker
cost-reducer-saga	cost-reducer-saga
cost-reducer-sorcery	cost-reducer-sorcery
cost-reducer-vehicle	cost-reducer-vehicle
counter-doubler	counter doubler
counter-fuel	counter fuel
counter-fuel-aesthetic	counter fuel-aesthetic
counter-fuel-any	counter fuel-any
counter-fuel-charge	counter fuel-charge
counter-fuel-energy	counter fuel-energy
counter-fuel-fade	counter fuel-fade
counter-fuel-keyword	counter fuel-keyword
counter-fuel-lore	counter fuel-lore
counter-fuel-loyalty	counter fuel-loyalty
counter-fuel-mm	counter fuel-mm
counter-fuel-oil	counter fuel-oil
counter-fuel-other	counter fuel-other
counter-fuel-pp	counter fuel-pp
counter-fuel-pt	counter fuel-pt
counter-fuel-shield	counter fuel-shield
counter-fuel-stun	counter fuel-stun
counter-fuel-time	counter fuel-time
counter-increaser	counter increaser
counter-preservation	counter preservation
counter-preservation-self	counter preservation-self
counters-matter	counters matter
counters-remain	counters remain
counterspell	counterspell
counterspell-ability	counterspell-ability
counterspell-artifact	counterspell-artifact
counterspell-aura	counterspell-aura
counterspell-automatic	counterspell-automatic
counterspell-battle	counterspell-battle
counterspell-bounce	counterspell-bounce
counterspell-creature	counterspell-creature
counterspell-enchantment	counterspell-enchantment
counterspell-exile	counterspell-exile
counterspell-free	counterspell-free
counterspell-instant	counterspell-instant
counterspell-loyalty-ability	counterspell-loyalty-ability
counterspell-noncreature	counterspell-noncreature
counterspell-planeswalker	counterspell-planeswalker
counterspell-reusable	counterspell-reusable
counterspell-sacrifice	counterspell-sacrifice
counterspell-soft	counterspell-soft
counterspell-sorcery	counterspell-sorcery
counterspell-sweeper	counterspell-sweeper
counterspell-tuck	counterspell-tuck
counterspell-with-set-mechanic	counterspell with set mechanic
counts-as-a-type	counts as a type
cover-card	cover card
cr-107-3f-x-card	cr 107.3f x card
cranial-plating	cranial plating
creates-bigger-body	creates bigger body
creates-oracle-copy	creates oracle copy
creates-oracle-token	creates oracle token
creates-token-of-a-card	creates token of a card
creature-ability-noncreature	creature-ability-noncreature
creature-count-matters	creature count matters
creature-type-bodyguard	creature type bodyguard
creature-type-enchantress	creature type enchantress
creature-type-fungusaur	creature type fungusaur
creature-type-guardian	creature type guardian
creature-type-hero	creature type hero
creature-type-lycanthrope	creature type lycanthrope
creature-type-monster	creature type monster
creature-type-name	creature type name
creature-type-phantasm	creature type phantasm
creature-type-ship	creature type ship
creature-type-townsfolk	creature type townsfolk
creature-type-undead	creature type undead
creaturefall	creaturefall
creatureland	creatureland
crew	crew
crewless-vehicle	crewless vehicle
cross-game-card	cross-game card
crucible-of-worlds	crucible of worlds
cunning	cunning
curiosity	curiosity
curiosity-like	curiosity-like
cycle	cycle
cycle-1mv-tutor	cycle-1mv-tutor
cycle-2x2-draft-signpost	cycle-2x2-draft-signpost
cycle-2xm-draft-signpost	cycle-2xm-draft-signpost
cycle-2xm-r-two-color	cycle-2xm-r-two-color
cycle-40k-alt-commander	cycle-40k-alt-commander
cycle-40k-face-commander	cycle-40k-face-commander
cycle-40k-saga	cycle-40k-saga
cycle-5dn-beacon	cycle-5dn-beacon
cycle-5dn-bringer	cycle-5dn-bringer
cycle-5dn-mm-attach-equipment	cycle-5dn-mm-attach-equipment
